Date,EURUSD,logdiff
2013-08-01,1.3314,0.017120333318120573
2013-09-01,1.3364,0.0037484113159983456
2013-10-01,1.3646,0.020881913898721793
2013-11-01,1.3491,-0.011423641936551931
2013-12-01,1.3708,0.015956807555682406
2014-01-01,1.3618,-0.006587156951587569
2014-02-01,1.3665,0.0034453723192565122
2014-03-01,1.3828,0.011857702679346771
2014-04-01,1.381,-0.0013025546381773556
2014-05-01,1.3739,-0.005154463479389693
2014-06-01,1.3595,-0.010536425857377074
2014-07-01,1.3533,-0.004570930990065447
2014-08-01,1.3315,-0.016239927828473055
2014-09-01,1.2889,-0.03251698484325305
2014-10-01,1.2677,-0.016584906466052762
2014-11-01,1.2473,-0.016223019813017575
2014-12-01,1.2329,-0.01161209725715634
2015-01-01,1.1615,-0.059656844664043335
2015-02-01,1.135,-0.023079622294960744
2015-03-01,1.0819,-0.047913896221975255
2015-04-01,1.0822,0.00027725151510712975
2015-05-01,1.1167,0.03138190124311151
2015-06-01,1.1226,0.005269516056352522
2015-07-01,1.0997,-0.020610008191210283
2015-08-01,1.1136,0.012560595263266444
2015-09-01,1.1229,0.008316613998337857
2015-10-01,1.1228,-8.905909076553642e-05
2015-11-01,1.0727,-0.0456467308843439
2015-12-01,1.0889,0.014989177748631705
2016-01-01,1.0855,-0.0031273020336688023
2016-02-01,1.1092,0.021598324423276485
2016-03-01,1.1134,0.0037793620077844065
2016-04-01,1.1346,0.018861769143059523
2016-05-01,1.1312,-0.0030011497501585688
2016-06-01,1.1232,-0.007097261870761637
2016-07-01,1.1055,-0.01588403297404574
2016-08-01,1.1207,0.013655768760481413
2016-09-01,1.1218,0.0009810480162541213
2016-10-01,1.1014,-0.01835244024585539
2016-11-01,1.0792,-0.020362071934834997
2016-12-01,1.0545,-0.023153304974716786
2017-01-01,1.0635,0.008498634721462499
2017-02-01,1.065,0.0014094435032336594
2017-03-01,1.0691,0.0038423738759287007
2017-04-01,1.0714,0.0021490314274057315
2017-05-01,1.105,0.030879130504993302
2017-06-01,1.1233,0.016425446695670365
2017-07-01,1.153,0.026096459621535506
2017-08-01,1.1813,0.024248285685415205
2017-09-01,1.1913,0.008429620850841257
2017-10-01,1.1755,-0.013351558825191318
2017-11-01,1.1743,-0.0010213636090888045
2017-12-01,1.1836,0.007888416155019201
2018-01-01,1.2197,0.03004428532313802
2018-02-01,1.234,0.0116559986161405
2018-03-01,1.2334,-0.00048634190794061283
2018-04-01,1.227,-0.005202417846480983
2018-05-01,1.1823,-0.037110471841843906
2018-06-01,1.1679,-0.012254429584547921
2018-07-01,1.1685,0.0005136106943930407
2018-08-01,1.1547,-0.011880305021102544
2018-09-01,1.1667,0.010338680872001182
2018-10-01,1.1488,-0.01546133153585158
2018-11-01,1.1364,-0.010852548313926846
2018-12-01,1.138,0.0014069647062432133
2019-01-01,1.1418,0.003333628843882608
2019-02-01,1.1349,-0.006061423223065493
2019-03-01,1.1296,-0.004680953568115695
2019-04-01,1.1234,-0.00550378664064527
2019-05-01,1.1187,-0.004192504245447468
2019-06-01,1.1295,0.009607760055173081
2019-07-01,1.1211,-0.007464710748510017
2019-08-01,1.1129,-0.0073411251801684535
