FkIdSkRok,FkIdSkola,Skore,VyznanSkore,Mat,PH,T5,T9,T5_mat,T5_SJ,Mat_mat,Mat_VJ,Mat_CJ,Pedag,Rozpocet
20,1734,5.17157020568848,0.5,,,9.79926986694336,5.35286026000977,9.59853973388672,10,5.47905158996582,5.22666893005371,,5.5310905456543,5.52659873962402
20,1874,5.59686889648438,1,,,9.64673919677734,5.45003280639648,10,9.29347839355469,6.10840148925781,4.79166412353516,,3.52221717834473,5.8333065032959
20,1875,,,,,,,,,,,,6.37618103027344,3.59690475463867
20,1876,4.87394027709961,0.5,,,7.25000610351563,5.70656509399414,7.13503570556641,7.37318878173828,4.40048789978027,7.01264190673828,,5.49859275817871,5.43873634338379
20,1877,4.94101676940918,1,,,7.5,5.73502769470215,7.5,7.5,5.61372184753418,5.85633354187012,,1.37421207427979,6.96353530883789
20,1878,6.18425674438477,1,,,7.40975036621094,7.83717803955078,7.59124069213867,7.22826080322266,8.15355377197266,7.52080230712891,,4.27958679199219,8.5999153137207
20,1879,7.0074592590332,1,,,9.55615997314453,8.49371185302734,10,9.11231918334961,9.02019805908203,7.96722640991211,,3.07505302429199,7.15594787597656
20,1880,5.84601364135742,1,,,7.87131042480469,7.11958618164063,7.48175201416016,8.26086883544922,7.30216293334961,6.93701019287109,,2.98730792999268,5.72163200378418
20,1881,5.81064643859863,1,,,8.22609252929687,6.94237976074219,7.90146026611328,8.55072479248047,7.13882675170898,6.74593200683594,,3.27459144592285,7.10027084350586
20,1882,,,,,,,,,,,,4.2617317199707,6.06775817871094
20,1883,6.16863059997559,1,,,7.70178833007813,7.43306884765625,8.19343109130859,7.2101448059082,7.95873489379883,6.90740356445312,,2.93868217468262,8.07169342041016
20,1887,3.76400756835938,1,5.15682144165039,6.54234161376953,,,,,6.06559104919434,5.18641014099121,4.92239875793457,2.63536472320557,5.27232208251953
20,1888,6.87491836547852,1,,,8.33782958984375,8.06887054443359,8.74087600708008,7.93478317260742,7.91035308837891,8.22738800048828,,3.64586982727051,7.20943984985352
20,1889,5.74643592834473,1,,,7.62859649658203,7.03452758789062,7.99270172119141,7.26449203491211,7.28197479248047,6.78708114624023,,3.67866897583008,7.04231643676758
20,1890,6.21672744750977,1,5.70823554992676,7.37391204833984,,,,,2.07373752593994,5.61088829040527,6.59843292236328,2.31703510284424,5.19415054321289
20,1891,,,,,,,,,,,,7.51844635009766,
20,1892,6.41343460083008,1,6.54666137695312,8.44239044189453,,,,,6.60481262207031,7.95625228881836,5.05275115966797,0.99887809753418,7.58266448974609
20,1893,,,,,,,,,,,,,
20,1894,,,,,,,,,,,,,
20,1896,8.06625671386719,1,9.2844596862793,7.39153137207031,,,,,8.8598274230957,9.32906494140625,9.28441390991211,2.92268962860107,6.26515808105469
20,1899,6.17688941955566,1,,,9.6005241394043,7.09464111328125,9.74452590942383,9.45652236938477,7.37233963012695,6.81694183349609,,3.97035636901855,6.48378448486328
20,1901,5.81795845031738,1,,,8.46431121826172,6.87516021728516,8.64963531494141,8.27898635864258,6.27267379760742,7.47764587402344,,1.52689256668091,6.97806777954102
20,1902,5.90570259094238,0.5,,,7.85471496582031,6.57322311401367,7.90146026611328,7.8079704284668,6.32386932373047,6.82257690429688,,3.88924522399902,7.09203491210937
20,1903,6.95130310058594,1,,,9.22755966186523,8.50965194702149,9.30656890869141,9.14855041503906,9.4360969543457,7.58320693969727,,2.59124641418457,7.05287704467773
20,1904,5.58531265258789,1,,,8.4199462890625,5.92158966064453,8.90510940551758,7.93478317260742,6.99524841308594,4.8479305267334,,3.23080711364746,6.98799896240234
20,1905,,,,,,,,,,,,4.58427658081055,6.7743896484375
20,1906,5.69478073120117,1,,,7.45332183837891,7.0068603515625,7.11678771972656,7.7898551940918,7.10941696166992,6.90430450439453,,3.2295295715332,7.09645080566406
20,1907,5.46192398071289,1,,,8.24506683349609,6.35485076904297,8.13868560791016,8.35144882202149,6.52166976928711,6.1880313873291,,2.28789520263672,7.20922546386719
20,1908,6.15728340148926,1,,,7.03473815917969,7.51045532226563,6.58759155273438,7.48188400268555,7.13948440551758,7.88142623901367,,3.28583374023437,7.06259155273438
20,1909,4.24136734008789,1,,,6.67248458862305,4.84478378295898,6.60583953857422,6.73912963867187,5.13835067749023,4.55121688842773,,3.6526912689209,7.54055023193359
20,1910,,,,,,,,,,,,,
20,1911,,,,,,,,,,,,,
20,1912,,,,,,,,,,,,3.0582893371582,5.6526725769043
