FkIdObec,FkIdPodtypSkoly,FkIdTypZriadovatela,FkIdSkRok,PocetSkol,PocetZiakov,PocetTried,PocetUcitelov
60,23,1,16,0,0,0,0
60,23,1,15,0,0,0,0
60,23,1,14,0,0,0,0
60,23,1,13,0,0,0,0
60,23,1,12,1,218,10,10
60,23,1,11,1,222,11,14
60,23,1,10,1,192,8,11
60,23,1,9,1,206,8,11
60,23,1,8,1,194,7,14
60,23,1,7,1,186,7,14
60,23,1,6,1,141,5,14
60,23,1,5,1,116,5,12
60,23,1,4,1,121,5,8
60,23,1,3,1,158,7,26
60,23,1,2,1,176,7,24
60,23,1,1,1,185,7,14
1,23,3,28,0,0,0,0
1,23,3,27,0,0,0,0
1,23,3,26,0,0,0,0
1,23,3,25,0,0,0,0
1,23,3,24,0,0,0,0
1,23,3,23,0,0,0,0
1,23,3,22,0,0,0,0
1,23,3,21,0,0,0,0
1,23,3,20,0,0,0,0
1,23,3,19,0,0,0,0
1,23,3,18,0,0,0,0
1,23,3,17,0,0,0,0
1,23,3,16,0,0,0,0
1,23,3,15,0,0,0,0
1,23,3,14,0,0,0,0
1,23,3,13,0,0,0,0
1,23,3,12,1,216,11,18
1,23,3,11,1,198,11,16
1,23,3,10,1,152,10,11
1,23,3,9,1,145,8,18
1,23,3,8,1,146,7,11
1,23,3,7,1,142,7,11
1,23,3,6,1,169,8,11
1,23,3,5,1,127,7,11
1,23,3,4,1,129,7,9
1,23,3,3,1,120,6,6
1,23,3,2,1,96,4,20
1,23,3,1,1,65,4,8
35,23,3,28,0,0,0,0
35,23,3,27,0,0,0,0
35,23,3,26,0,0,0,0
35,23,3,25,0,0,0,0
35,23,3,24,0,0,0,0
35,23,3,23,0,0,0,0
35,23,3,22,0,0,0,0
35,23,3,21,0,0,0,0
35,23,3,20,0,0,0,0
35,23,3,19,0,0,0,0
35,23,3,18,0,0,0,0
35,23,3,17,0,0,0,0
35,23,3,16,0,0,0,0
35,23,3,15,0,0,0,0
35,23,3,14,0,0,0,0
35,23,3,13,0,0,0,0
35,23,3,12,1,625,24,44
35,23,3,11,1,667,25,25
35,23,3,10,1,717,26,23
35,23,3,9,1,694,25,47
35,23,3,8,0,0,0,0
35,23,3,7,0,0,0,0
35,23,3,6,0,0,0,0
35,23,3,5,0,0,0,0
35,23,3,4,0,0,0,0
35,23,3,3,0,0,0,0
35,23,3,2,0,0,0,0
35,23,3,1,0,0,0,0
1,31,1,28,0,0,0,0
1,31,1,27,0,0,0,0
1,31,1,26,0,0,0,0
1,31,1,25,0,0,0,0
1,31,1,24,0,0,0,0
1,31,1,23,0,0,0,0
1,31,1,22,0,0,0,0
1,31,1,21,0,0,0,0
1,31,1,20,0,0,0,0
1,31,1,19,0,0,0,0
1,31,1,18,0,0,0,0
1,31,1,17,0,0,0,0
1,31,1,16,0,0,0,0
1,31,1,15,0,0,0,0
1,31,1,14,0,0,0,0
1,31,1,13,0,0,0,0
1,31,1,12,2,1423,56,90
1,31,1,11,2,1513,60,91
1,31,1,10,2,1543,58,90
1,31,1,9,2,1560,56,89
1,31,1,8,1,923,31,48
1,31,1,7,1,820,29,46
1,31,1,6,0,0,0,0
1,31,1,5,0,0,0,0
1,31,1,4,0,0,0,0
1,31,1,3,0,0,0,0
1,31,1,2,0,0,0,0
1,31,1,1,0,0,0,0
35,31,1,28,0,0,0,0
35,31,1,27,0,0,0,0
35,31,1,26,0,0,0,0
35,31,1,25,0,0,0,0
35,31,1,24,0,0,0,0
35,31,1,23,0,0,0,0
35,31,1,22,0,0,0,0
35,31,1,21,0,0,0,0
35,31,1,20,0,0,0,0
35,31,1,19,0,0,0,0
